StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,PartyAb,PartyNm,TotalVotes
ACT,101,Canberra,28189,BRODTMANN,Gai,ALP,Australian Labor Party,55091
ACT,101,Canberra,28336,CAHILL,Patricia,GRN,The Greens,19200
ACT,101,Canberra,29373,BUCKNELL,Christopher D'Arcy,BTA,Bullet Train For Australia,6013
ACT,101,Canberra,28989,ADELAN-LANGFORD,Jessica,LP,Liberal,48416
ACT,101,Canberra,999,Informal,Informal,,Informal,3590
ACT,102,Fenner,28190,LEIGH,Andrew Keith,ALP,Australian Labor Party,56796
ACT,102,Fenner,28200,WOODMAN,Andrew,IND,Independent,4707
ACT,102,Fenner,28983,GUNNING,Robert,LP,Liberal,38930
ACT,102,Fenner,28320,SAEEDI,Carly,GRN,The Greens,18929
ACT,102,Fenner,29372,BOHM,Tim,BTA,Bullet Train For Australia,4660
ACT,102,Fenner,999,Informal,Informal,,Informal,3595
NSW,103,Banks,28951,GAMBIAN,Chris,ALP,Labor,35890
NSW,103,Banks,29208,WU,Sharon,FFP,Family First,1621
NSW,103,Banks,28649,CLARK,Philippa,GRN,The Greens,5225
NSW,103,Banks,28660,COLEMAN,David,LP,Liberal,39423
NSW,103,Banks,28639,BONDAR,Greg,CDP,Christian Democratic Party (Fred Nile Group),4777
NSW,103,Banks,29097,BARNES,Roy Owen,AJP,Animal Justice Party,1555
NSW,103,Banks,29327,SPANSWICK,Bob,IND,Independent,1341
NSW,103,Banks,999,Informal,Informal,,Informal,6656
NSW,104,Barton,28057,TORKEL,Rasmus,IND,Independent,2236
NSW,104,Barton,28636,VARVARIS,Nickolas,LP,Liberal,31038
NSW,104,Barton,28964,BURNEY,Linda,ALP,Labor,41878
NSW,104,Barton,28626,SUSILO,Sonny,CDP,Christian Democratic Party (Fred Nile Group),3714
NSW,104,Barton,28632,HEBER,Brent,GRN,The Greens,7741
NSW,104,Barton,29008,TSOUKALAS,Harry,SOL,Online Direct Democracy - (Empowering the People!),1095
NSW,104,Barton,999,Informal,Informal,,Informal,7991
NSW,105,Bennelong,28886,HOWISON,Lyndal,ALP,Labor,26270
NSW,105,Bennelong,28437,AUGUST,John Peter,PIR,Pirate Party Australia,1260
NSW,105,Bennelong,28550,ALICK,Justin,GRN,The Greens,8424
NSW,105,Bennelong,28548,WORSLEY,Julie,CDP,Christian Democratic Party (Fred Nile Group),5903
NSW,105,Bennelong,28133,GORDON,Christopher,TAP,The Arts Party,992
NSW,105,Bennelong,28568,ALEXANDER,John,LP,Liberal,46497
NSW,105,Bennelong,28065,MULCARE,Martin,IND,Independent,2885
NSW,105,Bennelong,999,Informal,Informal,,Informal,4942
NSW,106,Berowra,28564,LEESER,Julian,LP,Liberal,53678
NSW,106,Berowra,28927,ANDREWS,Josh,ALP,Labor,18693
NSW,106,Berowra,17744,GALLAGHER,Mick,IND,Independent,2859
NSW,106,Berowra,28529,HEYDE,Emma,GRN,The Greens,10815
NSW,106,Berowra,27974,WOODWARD,Roger,IND,Independent,826
NSW,106,Berowra,29078,CLARKE,Brendan Michael,FUT,Science Party,1933
NSW,106,Berowra,28530,THEW,Leighton,CDP,Christian Democratic Party (Fred Nile Group),5213
NSW,106,Berowra,999,Informal,Informal,,Informal,4082
NSW,107,Blaxland,28931,CLARE,Jason,ALP,Labor,50572
NSW,107,Blaxland,28694,VIRAGO,Suzan,GRN,The Greens,3698
NSW,107,Blaxland,28163,ZABALA,Gabriela,SEP,Socialist Equality Party,980
NSW,107,Blaxland,28704,FINDLAY,Felicity,LP,Liberal,19825
NSW,107,Blaxland,28687,NASR,Clint,CDP,Christian Democratic Party (Fred Nile Group),4810
NSW,107,Blaxland,999,Informal,Informal,,Informal,10429
NSW,108,Bradfield,28795,KELLY,Peter,ALA,Australian Liberty Alliance,1796
NSW,108,Bradfield,28533,JONES,Adrian,GRN,The Greens,10936
NSW,108,Bradfield,28565,FLETCHER,Paul,LP,Liberal,57231
NSW,108,Bradfield,28462,BERMAN,Christine,IND,Independent,4248
NSW,108,Bradfield,28532,VALE,Chris,CDP,Christian Democratic Party (Fred Nile Group),3497
NSW,108,Bradfield,28881,GOMPERTZ,Katie,ALP,Labor,15926
NSW,108,Bradfield,999,Informal,Informal,,Informal,3446
NSW,109,Calare,28653,SKY,Delanie,GRN,The Greens,7238
NSW,109,Calare,29294,GEE,Andrew,NP,The Nationals,47717
NSW,109,Calare,29018,DAVIS,Glen,LDP,Liberal Democrats,6557
NSW,109,Calare,28627,GESLING,Bernie,CDP,Christian Democratic Party (Fred Nile Group),2386
NSW,109,Calare,27985,CRAIG,Anthony Gerard,IND,Independent,3836
NSW,109,Calare,28611,BLOOMFIELD,Rod,XEN,Nick Xenophon Team,5412
NSW,109,Calare,28915,JENNINGS,Jess,ALP,Labor,27132
NSW,109,Calare,999,Informal,Informal,,Informal,5490
NSW,111,Chifley,28644,GREEN,Joshua,CDP,Christian Democratic Party (Fred Nile Group),7820
NSW,111,Chifley,28684,KUMAR,Mohit,LP,Liberal,19394
NSW,111,Chifley,24190,KHAN,Ammar,IND,Independent,2194
NSW,111,Chifley,28666,JAMES,Eliza,GRN,The Greens,3883
NSW,111,Chifley,28890,HUSIC,Ed,ALP,Labor,52278
NSW,111,Chifley,999,Informal,Informal,,Informal,7785
NSW,112,Cook,28137,BRETT,John,IND,Independent,3153
NSW,112,Cook,28570,MORRISON,Scott,LP,Liberal,53321
NSW,112,Cook,28549,CAPSIS,George,CDP,Christian Democratic Party (Fred Nile Group),4430
NSW,112,Cook,28552,HUNT,Nathan,GRN,The Greens,6198
NSW,112,Cook,28925,ATKINS,David,ALP,Labor,24283
NSW,112,Cook,999,Informal,Informal,,Informal,4983
NSW,113,Cowper,28721,LAWRENCE,Wayne,CDP,Christian Democratic Party (Fred Nile Group),3538
NSW,113,Cowper,28027,GOUGH,Michael,CEC,Citizens Electoral Council,726
NSW,113,Cowper,28730,VERNON,Carol,GRN,The Greens,6901
NSW,113,Cowper,29001,WOOD,Damian,ALP,Labor,14079
NSW,113,Cowper,29558,OAKESHOTT,Robert James Murray,IND,Independent,27200
NSW,113,Cowper,29276,HARTSUYKER,Luke,NP,The Nationals,47559
